ID,Name,中文名称,日本語名
671,Florges,花洁夫人,フラージェス
672,Skiddo,坐骑小羊,メェークル
673,Gogoat,坐骑山羊,ゴーゴート
674,Pancham,顽皮熊猫,ヤンチャム
675,Pangoro,流氓熊猫,ゴロンダ
676,Furfrou,多丽米亚,トリミアン
677,Espurr,妙喵,ニャスパー
678,Meowstic,超能妙喵,ニャオニクス
679,Honedge,独剑鞘,ヒトツキ
680,Doublade,双剑鞘,ニダンギル
681,Aegislash,坚盾剑怪,ギルガルド
682,Spritzee,粉香香,シュシュプ
683,Aromatisse,芳香精,フレフワン
684,Swirlix,绵绵泡芙,ペロッパフ
685,Slurpuff,胖甜妮,ペロリーム
686,Inkay,好啦鱿,マーイーカ
687,Malamar,乌贼王,カラマネロ
688,Binacle,龟脚脚,カメテテ
689,Barbaracle,龟足巨铠,ガメノデス
690,Skrelp,垃垃藻,クズモー
691,Dragalge,毒藻龙,ドラミドロ
692,Clauncher,铁臂枪虾,ウデッポウ
693,Clawitzer,钢炮臂虾,ブロスター
694,Helioptile,伞电蜥,エリキテル
695,Heliolisk,光电伞蜥,エレザード
696,Tyrunt,宝宝暴龙,チゴラス
697,Tyrantrum,怪颚龙,ガチゴラス
698,Amaura,冰雪龙,アマルス
699,Aurorus,冰雪巨龙,アマルルガ
700,Sylveon,仙子伊布,ニンフィア
701,Hawlucha,摔角鹰人,ルチャブル
702,Dedenne,咚咚鼠,デデンネ
703,Carbink,小碎钻,メレシー
704,Goomy,黏黏宝,ヌメラ
705,Sliggoo,黏美儿,ヌメイル
706,Goodra,黏美龙,ヌメルゴン
707,Klefki,钥圈儿,クレッフィ
708,Phantump,小木灵,ボクレー
709,Trevenant,朽木妖,オーロット
710,Pumpkaboo,南瓜精,バケッチャ
711,Gourgeist,南瓜怪人,パンプジン
712,Bergmite,冰宝,カチコール
713,Avalugg,冰岩怪,クレベース
714,Noibat,嗡蝠,オンバット
715,Noivern,音波龙,オンバーン
716,Xerneas,哲尔尼亚斯,ゼルネアス
717,Yveltal,伊裴尔塔尔,イベルタル
718,Zygarde,基格尔德,ジガルデ
719,Diancie,蒂安希,ディアンシー
720,Hoopa,胡帕,フーパ
721,Volcanion,波尔凯尼恩,ボルケニオン?
722,Rowlet,木木枭,モクロー
723,Dartrix,投羽枭,フクスロー
724,Decidueye,狙射树枭,ジュナイパー
725,Litten,火斑喵,ニャビー
726,Torracat,炎热喵,ニャヒート
727,Incineroar,炽焰咆哮虎,ガオガエン
728,Popplio,球球海狮,アシマリ
729,Brionne,花漾海狮,オシャマリ
730,Primarina,西狮海壬,アシレーヌ
731,Pikipek,小笃儿,ツツケラ
732,Trumbeak,喇叭啄鸟,ケララッパ
733,Toucannon,铳嘴大鸟,ドデカバシ
734,Yungoos,猫鼬少,ヤングース
735,Gumshoos,猫鼬探长,デカグース
736,Grubbin,强颚鸡母虫,アゴジムシ
737,Charjabug,虫电宝,デンヂムシ
738,Vikavolt,锹农炮虫,クワガノン
739,Crabrawler,好胜蟹,マケンカニ
740,Crabominable,好胜毛蟹,ケケンカニ
741,Oricorio,花舞鸟,オドリドリ
742,Cutiefly,萌虻,アブリー
743,Ribombee,蝶结萌虻,アブリボン
744,Rockruff,岩狗狗,イワンコ
745,Lycanroc,鬃岩狼人,ルガルガン
746,Wishiwashi,弱丁鱼,ヨワシ
747,Mareanie,好坏星,ヒドイデ
748,Toxapex,超坏星,ドヒドイデ
749,Mudbray,泥驴仔,ドロバンコ
750,Mudsdale,重泥挽马,バンバドロ
751,Dewpider,滴蛛,シズクモ
752,Araquanid,滴蛛霸,オニシズクモ
753,Fomantis,伪螳草,カリキリ
754,Lurantis,兰螳花,ラランテス
755,Morelull,睡睡菇,ネマシュ
756,Shiinotic,灯罩夜菇,マシェード
757,Salandit,夜盗火蜥,ヤトウモリ
758,Salazzle,焰后蜥,エンニュート
759,Stufful,童偶熊,ヌイコグマ
760,Bewear,穿着熊,キテルグマ
761,Bounsweet,甜竹竹,アマカジ
762,Steenee,甜舞妮,アママイコ
763,Tsareena,甜冷美后,アマージョ
764,Comfey,花疗环环,キュワワー
765,Oranguru,智挥猩,ヤレユータン
766,Passimian,投掷猴,ナゲツケサル
767,Wimpod,胆小虫,コソクムシ
768,Golisopod,具甲武者,グソクムシャ
769,Sandygast,沙丘娃,スナバァ
770,Palossand,噬沙堡爷,シロデスナ
771,Pyukumuku,拳海参,ナマコブシ
772,Type: Null,属性：空,タイプ：ヌル
773,Silvally,银伴战兽,シルヴァディ
774,Minior,小陨星,メテノ
775,Komala,树枕尾熊,ネッコアラ
776,Turtonator,爆焰龟兽,バクガメス
777,Togedemaru,托戈德玛尔,トゲデマル
778,Mimikyu,谜拟Ｑ,ミミッキュ
779,Bruxish,磨牙彩皮鱼,ハギギシリ
780,Drampa,老翁龙,ジジーロン
781,Dhelmise,破破舵轮,ダダリン
782,Jangmo-o,心鳞宝,ジャラコ
783,Hakamo-o,鳞甲龙,ジャランゴ
784,Kommo-o,杖尾鳞甲龙,ジャラランガ
785,Tapu Koko,卡璞?鸣鸣,カプ?コケコ
786,Tapu Lele,卡璞?蝶蝶,カプ?テテフ
787,Tapu Bulu,卡璞?哞哞,カプ?ブルル
788,Tapu Fini,卡璞?鳍鳍,カプ?レヒレ
789,Cosmog,科斯莫古,コスモッグ
790,Cosmoem,科斯莫姆,コスモウム
791,Solgaleo,索尔迦雷欧,ソルガレオ
792,Lunala,露奈雅拉,ルナアーラ
793,Nihilego,虚吾伊德,ウツロイド
794,Buzzwole,爆肌蚊,マッシブーン
795,Pheromosa,费洛美螂,フェローチェ
796,Xurkitree,电束木,デンジュモク
797,Celesteela,铁火辉夜,テッカグヤ
798,Kartana,纸御剑,カミツルギ
799,Guzzlord,恶食大王,アクジキング
800,Necrozma,奈克洛兹玛,ネクロズマ
801,Magearna,玛机雅娜,マギアナ
802,Marshadow,玛夏多,マーシャドー
803,Poipole,毒贝比,ベベノム
804,Naganadel,四颚针龙,アーゴヨン
805,Stakataka,垒磊石,ツンデツンデ
806,Blacephalon,砰头小丑,ズガドーン
807,Zeraora,捷拉奥拉,ゼラオラ
808,Meltan,美录坦,メルタン
809,Melmetal,美录梅塔,メルメタル
810,Grookey,敲音猴,サルノリ
811,Thwackey,啪咚猴,バチンキー
812,Rillaboom,轰擂金刚猩,ゴリランダー
813,Scorbunny,炎兔儿,ヒバニー
814,Raboot,腾蹴小将,ラビフット
815,Cinderace,闪焰王牌,エースバーン
816,Sobble,泪眼蜥,メッソン
817,Drizzile,变涩蜥,ジメレオン
818,Inteleon,千面避役,インテレオン
819,Skwovet,贪心栗鼠,ホシガリス
820,Greedent,藏饱栗鼠,ヨクバリス
821,Rookidee,稚山雀,ココガラ
822,Corvisquire,蓝鸦,アオガラス
823,Corviknight,钢铠鸦,アーマーガア
824,Blipbug,索侦虫,サッチムシ
825,Dottler,天罩虫,レドームシ
826,Orbeetle,以欧路普,イオルブ
827,Nickit,狡小狐,クスネ
828,Thievul,猾大狐,フォクスライ
829,Gossifleur,幼棉棉,ヒメンカ
830,Eldegoss,白蓬蓬,ワタシラガ
831,Wooloo,毛辫羊,ウールー
832,Dubwool,毛毛角羊,バイウールー
833,Chewtle,咬咬龟,カムカメ
834,Drednaw,暴噬龟,カジリガメ
835,Yamper,来电汪,ワンパチ
836,Boltund,逐电犬,パルスワン
837,Rolycoly,小炭仔,タンドン
838,Carkol,大炭车,トロッゴン
839,Coalossal,巨炭山,セキタンザン
840,Applin,啃果虫,カジッチュ
841,Flapple,苹裹龙,アップリュー
842,Appletun,丰蜜龙,タルップル
843,Silicobra,沙包蛇,スナヘビ
844,Sandaconda,沙螺蟒,サダイジャ
845,Cramorant,古月鸟,ウッウ
846,Arrokuda,刺梭鱼,サシカマス
847,Barraskewda,戽斗尖梭,カマスジョー
848,Toxel,电音婴,エレズン
849,Toxtricity,颤弦蝾螈,ストリンダー
850,Sizzlipede,烧火蚣,ヤクデ
851,Centiskorch,焚焰蚣,マルヤクデ
852,Clobbopus,拳拳蛸,タタッコ
853,Grapploct,八爪武师,オトスパス
854,Sinistea,来悲茶,ヤバチャ
855,Polteageist,怖思壶,ポットデス
856,Hatenna,迷布莉姆,ミブリム
857,Hattrem,提布莉姆,テブリム
858,Hatterene,布莉姆温,ブリムオン
859,Impidimp,捣蛋小妖,ベロバー
860,Morgrem,诈唬魔,ギモー
861,Grimmsnarl,长毛巨魔,オーロンゲ
862,Obstagoon,堵拦熊,タチフサグマ
863,Perrserker,喵头目,ニャイキング
864,Cursola,魔灵珊瑚,サニゴーン
865,Sirfetch'd,葱游兵,ネギガナイト
866,Mr. Rime,踏冰人偶,バリコオル
867,Runerigus,迭失板,デスバーン
868,Milcery,小仙奶,マホミル
869,Alcremie,霜奶仙,マホイップ
870,Falinks,列阵兵,タイレーツ
871,Pincurchin,啪嚓海胆,バチンウニ
872,Snom,雪吞虫,ユキハミ
873,Frosmoth,雪绒蛾,モスノウ
874,Stonjourner,巨石丁,イシヘンジン
875,Eiscue,冰砌鹅,コオリッポ
876,Indeedee,爱管侍,イエッサン
877,Morpeko,莫鲁贝可,モルペコ
878,Cufant,铜象,ゾウドウ
879,Copperajah,大王铜象,ダイオウドウ
880,Dracozolt,雷鸟龙,パッチラゴン
881,Arctozolt,雷鸟海兽,パッチルドン
882,Dracovish,鳃鱼龙,ウオノラゴン
883,Arctovish,鳃鱼海兽,ウオチルドン
884,Duraludon,铝钢龙,ジュラルドン
885,Dreepy,多龙梅西亚,ドラメシヤ
886,Drakloak,多龙奇,ドロンチ
887,Dragapult,多龙巴鲁托,ドラパルト
888,Zacian,苍响,ザシアン
889,Zamazenta,藏玛然特,ザマゼンタ
890,Eternatus,无极汰那,ムゲンダイナ
891,Kubfu,熊徒弟,ダクマ
892,Urshifu,武道熊师,ウーラオス
893,Zarude,萨戮德,ザルード
894,Regieleki,雷吉艾勒奇,レジエレキ
895,Regidrago,雷吉铎拉戈,レジドラゴ
896,Glastrier,雪暴马,ブリザポス
897,Spectrier,灵幽马,レイスポス
898,Calyrex,蕾冠王,バドレックス
899,Wyrdeer,诡角鹿,アヤシシ
900,Kleavor,劈斧螳螂,バサギリ
901,Ursaluna,月月熊,ガチグマ
902,Basculegion,幽尾玄鱼,イダイトウ
903,Sneasler,大狃拉,オオニューラ
904,Overqwil,万针鱼,ハリーマン
905,Enamorus,眷恋云,ラブトロス
906,Sprigatito,新叶喵,ニャオハ
907,Floragato,蒂蕾喵,ニャローテ
908,Meowscarada,魔幻假面喵,マスカーニャ
909,Fuecoco,呆火鳄,ホゲータ
910,Crocalor,炙烫鳄,アチゲータ
911,Skeledirge,骨纹巨声鳄,ラウドボーン
912,Quaxly,润水鸭,クワッス
913,Quaxwell,涌跃鸭,ウェルカモ
914,Quaquaval,狂欢浪舞鸭,ウェーニバル
915,Lechonk,爱吃豚,グルトン
916,Oinkologne,飘香豚,パフュートン
917,Tarountula,团珠蛛,タマンチュラ
918,Spidops,操陷蛛,ワナイダー
919,Nymble,豆蟋蟀,マメバッタ
920,Lokix,烈腿蝗,エクスレッグ
921,Pawmi,布拨,パモ
922,Pawmo,布土拨,パモット
923,Pawmot,巴布土拨,パーモット
924,Tandemaus,一对鼠,ワッカネズミ
925,Maushold,一家鼠,イッカネズミ
926,Fidough,狗仔包,パピモッチ
927,Dachsbun,麻花犬,バウッツェル
928,Smoliv,迷你芙,ミニーブ
929,Dolliv,奥利纽,オリーニョ
930,Arboliva,奥利瓦,オリーヴァ
931,Squawkabilly,怒鹦哥,イキリンコ
932,Nacli,盐石宝,コジオ
933,Naclstack,盐石垒,ジオヅム
934,Garganacl,盐石巨灵,キョジオーン
935,Charcadet,炭小侍,カルボウ
936,Armarouge,红莲铠骑,グレンアルマ
937,Ceruledge,苍炎刃鬼,ソウブレイズ
938,Tadbulb,光蚪仔,ズピカ
939,Bellibolt,电肚蛙,ハラバリー
940,Wattrel,电海燕,カイデン
941,Kilowattrel,大电海燕,タイカイデン
942,Maschiff,偶叫獒,オラチフ
943,Mabosstiff,獒教父,マフィティフ
944,Shroodle,滋汁鼹,シルシュルー
945,Grafaiai,涂标客,タギングル
946,Bramblin,纳噬草,アノクサ
947,Brambleghast,怖纳噬草,アノホラグサ
948,Toedscool,原野水母,ノノクラゲ
949,Toedscruel,陆地水母,リククラゲ
950,Klawf,毛崖蟹,ガケガニ
951,Capsakid,热辣娃,カプサイジ
952,Scovillain,狠辣椒,スコヴィラン
953,Rellor,虫滚泥,シガロコ
954,Rabsca,虫甲圣,ベラカス
955,Flittle,飘飘雏,ヒラヒナ
956,Espathra,超能艳鸵,クエスパトラ
957,Tinkatink,小锻匠,カヌチャン
958,Tinkatuff,巧锻匠,ナカヌチャン
959,Tinkaton,巨锻匠,デカヌチャン
960,Wiglett,海地鼠,ウミディグダ
961,Wugtrio,三海地鼠,ウミトリオ
962,Bombirdier,下石鸟,オトシドリ
963,Finizen,波普海豚,ナミイルカ
964,Palafin,海豚侠,イルカマン
965,Varoom,噗隆隆,ブロロン
966,Revavroom,普隆隆姆,ブロロローム
967,Cyclizar,摩托蜥,モトトカゲ
968,Orthworm,拖拖蚓,ミミズズ
969,Glimmet,晶光芽,キラーメ
970,Glimmora,晶光花,キラフロル
971,Greavard,墓仔狗,ボチ
972,Houndstone,墓扬犬,ハカドッグ
973,Flamigo,缠红鹤,カラミンゴ
974,Cetoddle,走鲸,アルクジラ
975,Cetitan,浩大鲸,ハルクジラ
976,Veluza,轻身鳕,ミガルーサ
977,Dondozo,吃吼霸,ヘイラッシャ
978,Tatsugiri,米立龙,シャリタツ
979,Annihilape,弃世猴,コノヨザル
980,Clodsire,土王,ドオー
981,Farigiraf,奇麒麟,リキキリン
982,Dudunsparce,土龙节节,ノココッチ
983,Kingambit,仆斩将军,ドドゲザン
984,Great Tusk,雄伟牙,イダイナキバ
985,Scream Tail,吼叫尾,サケブシッポ
986,Brute Bonnet,猛恶菇,アラブルタケ
987,Flutter Mane,振翼发,ハバタクカミ
988,Slither Wing,爬地翅,チヲハウハネ
989,Sandy Shocks,沙铁皮,スナノケガワ
990,Iron Treads,铁辙迹,テツノワダチ
991,Iron Bundle,铁包袱,テツノツツミ
992,Iron Hands,铁臂膀,テツノカイナ
993,Iron Jugulis,铁脖颈,テツノコウベ
994,Iron Moth,铁毒蛾,テツノドクガ
995,Iron Thorns,铁荆棘,テツノイバラ
996,Frigibax,凉脊龙,セビエ
997,Arctibax,冻脊龙,セゴール
998,Baxcalibur,戟脊龙,セグレイブ
999,Gimmighoul,索财灵,コレクレー
1000,Gholdengo,赛富豪,サーフゴー
1001,Wo-Chien,古简蜗,チオンジェン
1002,Chien-Pao,古剑豹,パオジアン
1003,Ting-Lu,古鼎鹿,ディンルー
1004,Chi-Yu,古玉鱼,イーユイ
1005,Roaring Moon,轰鸣月,トドロクツキ
1006,Iron Valiant,铁武者,テツノブジン
1007,Koraidon,故勒顿,コライドン
1008,Miraidon,密勒顿,ミライドン
1009,Walking Wake,波荡水,ウネルミナモ
1010,Iron Leaves,铁斑叶,テツノイサハ
1011,Dipplin,裹蜜虫,カミッチュ
1012,Poltchageist,斯魔茶,チャデス
1013,Sinistcha,来悲粗茶,ヤバソチャ
1014,Okidogi,够赞狗,イイネイヌ
1015,Munkidori,愿增猿,マシマシラ
1016,Fezandipiti,吉雉鸡,キチギキス
1017,Ogerpon,厄鬼椪,オーガポン
1018,Archaludon,铝钢桥龙,ブリジュラス
1019,Hydrapple,蜜集大蛇,カミツオロチ
1020,Gouging Fire,破空焰,ウガツホムラ
1021,Raging Bolt,猛雷鼓,タケルライコ
1022,Iron Boulder,铁磐岩,テツノイワオ
1023,Iron Crown,铁头壳,テツノカシラ
1024,Terapagos,太乐巴戈斯,テラパゴス
1025,Pecharunt,桃歹郎,モモワロウ
